1716079446374,592,12,2082,-1,-1
1716079446599,611,38,2155,-1,-1
1716079446838,667,114,2149,-1,-1
1716079447063,664,29,1994,-1,-1
1716079447289,707,15,1967,-1,-1
1716079447514,674,-1,-1,-1,-1
1716079447740,705,-1,-1,-1,-1
1716079447965,703,10,2040,-1,-1
1716079448190,705,-1,-1,-1,-1
1716079448416,715,11,2220,-1,-1
1716079448641,686,-1,-1,-1,-1
1716079448867,693,-1,-1,-1,-1
1716079449092,715,-1,-1,-1,-1
1716079449318,700,-1,-1,-1,-1
1716079449543,712,-1,-1,-1,-1
1716079449768,668,9,2009,-1,-1
1716079449993,716,-1,-1,-1,-1
1716079450232,689,-1,-1,-1,-1
1716079450457,697,-1,-1,-1,-1
1716079450683,729,11,2560,10,2794
1716079450908,738,-1,-1,-1,-1
1716079451134,705,-1,-1,-1,-1
1716079451359,721,-1,-1,-1,-1
1716079451584,710,-1,-1,-1,-1
1716079451810,713,-1,-1,-1,-1
1716079452035,720,11,1076,-1,-1
1716079452261,715,12,1066,-1,-1
1716079452486,717,12,1042,10,2068
1716079452711,721,-1,-1,-1,-1
1716079452937,712,19,1013,-1,-1
1716079453162,723,23,1019,-1,-1
1716079453387,729,21,1005,-1,-1
1716079453613,699,29,1020,-1,-1
1716079453838,706,25,1018,-1,-1
1716079454064,693,25,1049,-1,-1
1716079454289,740,24,1049,-1,-1
1716079454514,719,21,1032,-1,-1
1716079454740,715,21,1009,-1,-1
1716079454965,732,27,1011,12,2757
1716079455191,709,28,1018,-1,-1
1716079455416,689,40,1017,-1,-1
1716079455641,720,43,1017,-1,-1
1716079455866,702,50,1012,-1,-1
1716079456092,732,60,1002,-1,-1
1716079456317,719,65,1002,-1,-1
1716079456543,715,65,996,13,2737
1716079456768,727,79,996,-1,-1
1716079456993,717,88,991,-1,-1
1716079457219,708,90,994,7,1832
1716079457444,712,90,993,-1,-1
1716079457670,738,55,1003,-1,-1
1716079457895,722,28,1003,-1,-1
1716079458120,755,14,1003,-1,-1
1716079458346,720,12,1036,-1,-1
1716079458571,727,16,1032,-1,-1
1716079458796,726,10,1023,-1,-1
1716079459022,733,12,1043,-1,-1
1716079459247,723,13,1016,-1,-1
1716079459472,722,11,1014,-1,-1
1716079459698,725,17,1044,-1,-1
1716079459923,736,13,1046,-1,-1
1716079460148,707,11,1030,-1,-1
1716079460374,710,10,1032,-1,-1
1716079460599,722,-1,-1,-1,-1
1716079460824,759,-1,-1,-1,-1
1716079461050,716,13,1044,-1,-1
1716079461275,725,13,1049,-1,-1
1716079461501,734,15,1060,-1,-1
1716079461726,702,12,1057,11,1451
1716079461951,727,-1,-1,-1,-1
1716079462177,725,14,1056,-1,-1
1716079462402,745,13,1044,-1,-1
1716079462627,748,14,1031,-1,-1
1716079462853,736,-1,-1,-1,-1
1716079463078,725,-1,-1,-1,-1
1716079463303,754,11,1030,-1,-1
1716079463529,723,13,1041,-1,-1
1716079463754,734,13,1049,-1,-1
1716079463980,729,27,1,-1,-1
1716079464205,736,16,1058,-1,-1
1716079464430,742,14,1055,12,2012
1716079464656,715,10,1047,-1,-1
1716079464881,714,-1,-1,-1,-1
1716079465106,748,13,1051,-1,-1
1716079465332,742,13,1051,-1,-1
1716079465557,733,15,1046,-1,-1
1716079465782,757,12,1046,-1,-1
1716079466008,730,13,1024,-1,-1
1716079466233,732,12,1034,10,2186
1716079466459,726,14,1031,-1,-1
1716079466684,718,16,1040,-1,-1
1716079466909,731,16,1027,9,1837
1716079467135,721,19,1034,-1,-1
1716079467360,734,15,1021,-1,-1
1716079467585,746,16,1030,8,3062
1716079467811,729,-1,-1,-1,-1
1716079468036,723,15,1026,-1,-1
1716079468262,723,17,1031,-1,-1
1716079468487,723,16,1015,-1,-1
1716079468713,725,16,1033,-1,-1
1716079468938,781,14,1019,-1,-1
1716079469163,756,-1,-1,-1,-1
1716079469389,742,15,1018,-1,-1
1716079469614,756,14,1017,-1,-1
1716079469839,736,15,1023,-1,-1
1716079470065,748,14,1038,-1,-1
1716079470290,698,14,1034,-1,-1
1716079470516,738,13,1030,-1,-1
1716079470741,748,17,1031,-1,-1
1716079470966,718,14,1030,-1,-1
1716079471192,776,17,1026,-1,-1
1716079471417,709,15,1038,-1,-1
1716079471643,728,15,1032,-1,-1
1716079471868,734,16,1013,-1,-1
1716079472093,746,14,1029,-1,-1
1716079472319,748,16,1036,-1,-1
1716079472544,769,18,1020,-1,-1
1716079472770,723,15,1025,-1,-1
1716079472995,737,13,1016,-1,-1
1716079473220,719,14,1031,10,1748
1716079473446,745,14,1022,-1,-1
1716079473671,736,16,1021,-1,-1
1716079473896,735,16,1022,-1,-1
1716079474122,752,13,1016,-1,-1
1716079474347,771,12,1021,-1,-1
1716079474573,744,13,1017,-1,-1
1716079474798,744,14,1035,-1,-1
1716079475023,705,10,1025,-1,-1
1716079475249,709,17,1016,-1,-1
1716079475474,722,15,1035,-1,-1
1716079475699,739,14,1017,-1,-1
1716079475925,768,15,1026,12,2687
1716079476150,706,19,1038,-1,-1
1716079476376,716,13,1026,-1,-1
1716079476601,738,14,1027,-1,-1
1716079476826,758,15,1022,-1,-1
1716079477052,737,16,1021,-1,-1
1716079477277,739,16,1020,6,3517
1716079477503,725,17,1020,-1,-1
1716079477728,739,13,1031,-1,-1
1716079477953,759,18,1025,-1,-1
1716079478179,732,16,1028,-1,-1
1716079478404,734,18,1025,-1,-1
1716079478629,745,13,1046,-1,-1
1716079478854,731,18,1036,-1,-1
1716079479080,745,18,1025,-1,-1
1716079479305,775,17,1031,-1,-1
1716079479531,732,17,1062,-1,-1
1716079479756,745,-1,-1,-1,-1
1716079479981,734,12,2501,-1,-1
1716079480206,746,-1,-1,-1,-1
1716079480445,796,-1,-1,-1,-1
1716079480670,766,-1,-1,-1,-1
1716079480896,783,-1,-1,-1,-1
1716079481121,765,-1,-1,-1,-1
1716079481347,745,-1,-1,-1,-1
1716079481572,757,-1,-1,-1,-1
1716079481797,714,12,2893,-1,-1
1716079482023,737,-1,-1,-1,-1
1716079482248,752,13,2796,-1,-1
1716079482473,777,10,1364,-1,-1
1716079482699,778,-1,-1,-1,-1
1716079482924,737,-1,-1,-1,-1
1716079483150,747,-1,-1,-1,-1
1716079483375,771,-1,-1,-1,-1
